shape,credit,songs,removed,decision,harvested,candidates,examples,confidence,labels,matched_label
trimmed:featured,24kGoldn feat. iann dior,1,feat. iann dior,,"Q83751918 24kGoldn [spotify, mb]","Q83751918 24kGoldn [human, spotify, mb, via '24kGoldn']",Mood (2021),single-shortened,24kGoldn feat. iann dior | 24kGoldn,24kGoldn
trimmed:featured,50 Cent featuring Nate Dogg,1,featuring Nate Dogg,,"Q6060 50 Cent [spotify, mb]","Q6060 50 Cent [human, spotify, mb, via '50 Cent']",21 Questions (2003),single-shortened,50 Cent featuring Nate Dogg | 50 Cent,50 Cent
trimmed:featured,50 Cent featuring Olivia,1,featuring Olivia,,"Q6060 50 Cent [spotify, mb]","Q6060 50 Cent [human, spotify, mb, via '50 Cent']",Candy Shop (2005),single-shortened,50 Cent featuring Olivia | 50 Cent,50 Cent
trimmed:featured,Akon featuring Eminem,1,featuring Eminem,,"Q32849 Akon [spotify, mb]","Q32849 Akon [human, spotify, mb, via 'Akon']",Smack That (2007),single-shortened,Akon featuring Eminem | Akon,Akon
trimmed:featured,Akon featuring Snoop Dogg,1,featuring Snoop Dogg,,"Q32849 Akon [spotify, mb]","Q32849 Akon [human, spotify, mb, via 'Akon']",I Wanna Love You (2007),single-shortened,Akon featuring Snoop Dogg | Akon,Akon
trimmed:featured,Ariana Grande feat. Iggy Azalea,1,feat. Iggy Azalea,,"Q151892 Ariana Grande [spotify, mb]","Q151892 Ariana Grande [human, spotify, mb, via 'Ariana Grande']",Problem (2014),single-shortened,Ariana Grande feat. Iggy Azalea | Ariana Grande,Ariana Grande
trimmed:featured,Az Yet featuring Peter Cetera,1,featuring Peter Cetera,,Q661962 Az Yet [mb],"Q661962 Az Yet [musical group, mb, via 'Az Yet']",Hard to Say I'm Sorry (1997),single-shortened,Az Yet featuring Peter Cetera | Az Yet,Az Yet
trimmed:featured,B.o.B feat. Bruno Mars,1,feat. Bruno Mars,,"Q45667 B.o.B [spotify, mb]","Q45667 B.o.B [human, spotify, mb, via 'B.o.B']",Nothin' on You (2010),single-shortened,B.o.B feat. Bruno Mars | B.o.B,B.o.B
trimmed:featured,B.o.B feat. Hayley Williams,1,feat. Hayley Williams,,"Q45667 B.o.B [spotify, mb]","Q45667 B.o.B [human, spotify, mb, via 'B.o.B']",Airplanes (2010),single-shortened,B.o.B feat. Hayley Williams | B.o.B,B.o.B
trimmed:featured,Bebe Rexha feat. Florida Georgia Line,1,feat. Florida Georgia Line,,"Q16185856 Bebe Rexha [spotify, mb]","Q16185856 Bebe Rexha [human, spotify, mb, via 'Bebe Rexha']",Meant to Be (2018),single-shortened,Bebe Rexha feat. Florida Georgia Line | Bebe Rexha,Bebe Rexha
trimmed:featured,Benny Goodman feat. Ella Fitzgerald,1,feat. Ella Fitzgerald,,Q46755 Benny Goodman [mb],"Q46755 Benny Goodman [human, mb, via 'Benny Goodman']","Goodnight, My Love (1937)",single-shortened,Benny Goodman feat. Ella Fitzgerald | Benny Goodman,Benny Goodman
trimmed:featured,Benny Goodman feat. Martha Tilton,1,feat. Martha Tilton,,Q46755 Benny Goodman [mb],"Q46755 Benny Goodman [human, mb, via 'Benny Goodman']",And the Angels Sing (1939),single-shortened,Benny Goodman feat. Martha Tilton | Benny Goodman,Benny Goodman
trimmed:featured,Benny Goodman feat. Peggy Lee,1,feat. Peggy Lee,,Q46755 Benny Goodman [mb],"Q46755 Benny Goodman [human, mb, via 'Benny Goodman']",Somebody Else Is Taking My Place (1942),single-shortened,Benny Goodman feat. Peggy Lee | Benny Goodman,Benny Goodman
trimmed:featured,Bessie Smith with Louis Armstrong,1,with Louis Armstrong,,"Q93349 Bessie Smith [spotify, mb]","Q93349 Bessie Smith [human, spotify, mb, via 'Bessie Smith']",St. Louis Blues (1925),single-shortened,Bessie Smith with Louis Armstrong | Bessie Smith,Bessie Smith
trimmed:featured,Beyoncé featuring Jay-Z,1,featuring Jay-Z,,"Q36153 Beyoncé [spotify, mb]","Q36153 Beyoncé [human, spotify, mb, via 'Beyoncé']",Crazy in Love (2003),single-shortened,Beyoncé featuring Jay-Z | Beyoncé,Beyoncé
trimmed:featured,Beyoncé featuring Sean Paul,1,featuring Sean Paul,,"Q36153 Beyoncé [spotify, mb]","Q36153 Beyoncé [human, spotify, mb, via 'Beyoncé']",Baby Boy (2003),single-shortened,Beyoncé featuring Sean Paul | Beyoncé,Beyoncé
trimmed:featured,Beyoncé featuring Slim Thug,1,featuring Slim Thug,,"Q36153 Beyoncé [spotify, mb]","Q36153 Beyoncé [human, spotify, mb, via 'Beyoncé']",Check on It (2006),single-shortened,Beyoncé featuring Slim Thug | Beyoncé,Beyoncé
trimmed:featured,BigXthaPlug feat. Bailey Zimmerman,1,feat. Bailey Zimmerman,,"Q124750337 BigXthaPlug [spotify, mb]","Q124750337 BigXthaPlug [human, spotify, mb, via 'BigXthaPlug']",All the Way (2025),single-shortened,BigXthaPlug feat. Bailey Zimmerman | BigXthaPlug,BigXthaPlug
trimmed:featured,Blackstreet featuring Dr. Dre,1,featuring Dr. Dre,,"Q222517 Blackstreet [spotify, mb]","Q222517 Blackstreet [musical group, spotify, mb, via 'Blackstreet']",No Diggity (1997),single-shortened,Blackstreet featuring Dr. Dre | Blackstreet,Blackstreet
trimmed:featured,BlocBoy JB feat. Drake,1,feat. Drake,,Q49481016 BlocBoy JB [mb],"Q49481016 BlocBoy JB [human, mb, via 'BlocBoy JB']",Look Alive (2018),single-shortened,BlocBoy JB feat. Drake | BlocBoy JB,BlocBoy JB
trimmed:featured,Busta Rhymes featuring Janet Jackson,1,featuring Janet Jackson,,"Q59185 Busta Rhymes [spotify, mb]","Q59185 Busta Rhymes [human, spotify, mb, via 'Busta Rhymes']",What's It Gonna Be?! (1999),single-shortened,Busta Rhymes featuring Janet Jackson | Busta Rhymes,Busta Rhymes
trimmed:featured,Calvin Harris feat. Rihanna,1,feat. Rihanna,,"Q81637 Calvin Harris [spotify, mb]","Q81637 Calvin Harris [human, spotify, mb, via 'Calvin Harris']",This Is What You Came For (2016),single-shortened,Calvin Harris feat. Rihanna | Calvin Harris,Calvin Harris
trimmed:featured,Cam'ron featuring Juelz Santana,1,featuring Juelz Santana,,"Q434913 Cam'ron [spotify, mb]","Q434913 Cam'ron [human, spotify, mb, via ""Cam'ron""]",Oh Boy (2002),single-shortened,Cam'ron featuring Juelz Santana | Cam'ron,Cam'ron
trimmed:featured,Camila Cabello feat. Young Thug,1,feat. Young Thug,,"Q18810940 Camila Cabello [spotify, mb]","Q18810940 Camila Cabello [human, spotify, mb, via 'Camila Cabello']",Havana (2018),single-shortened,Camila Cabello feat. Young Thug | Camila Cabello,Camila Cabello
trimmed:featured,Cardi B feat. Megan Thee Stallion,1,feat. Megan Thee Stallion,,"Q29033668 Cardi B [spotify, mb]","Q29033668 Cardi B [human, spotify, mb, via 'Cardi B']",WAP (2020),single-shortened,Cardi B feat. Megan Thee Stallion | Cardi B,Cardi B
trimmed:featured,Chad Kroeger featuring Josey Scott,1,featuring Josey Scott,,Q294723 Chad Kroeger [mb],"Q294723 Chad Kroeger [human, mb, via 'Chad Kroeger']",Hero (2002),single-shortened,Chad Kroeger featuring Josey Scott | Chad Kroeger,Chad Kroeger
trimmed:featured,Chamillionaire featuring Krayzie Bone,1,featuring Krayzie Bone,,"Q299132 Chamillionaire [spotify, mb]","Q299132 Chamillionaire [human, spotify, mb, via 'Chamillionaire']",Ridin' (2006),single-shortened,Chamillionaire featuring Krayzie Bone | Chamillionaire,Chamillionaire
trimmed:featured,Chick Webb feat. Ella Fitzgerald,1,feat. Ella Fitzgerald,,Q505749 Chick Webb [mb],"Q505749 Chick Webb [human, mb, via 'Chick Webb']",Undecided (1939),single-shortened,Chick Webb feat. Ella Fitzgerald | Chick Webb,Chick Webb
trimmed:featured,Chingy featuring J. Weav,1,featuring J. Weav,,"Q318792 Chingy [spotify, mb]","Q318792 Chingy [human, spotify, mb, via 'Chingy']",One Call Away (2004),single-shortened,Chingy featuring J. Weav | Chingy,Chingy
trimmed:featured,Ciara featuring Ludacris,1,featuring Ludacris,,"Q203223 Ciara [spotify, mb]","Q203223 Ciara [human, spotify, mb, via 'Ciara']",Oh (2005),single-shortened,Ciara featuring Ludacris | Ciara,Ciara
trimmed:featured,Ciara featuring Missy Elliott,1,featuring Missy Elliott,,"Q203223 Ciara [spotify, mb]","Q203223 Ciara [human, spotify, mb, via 'Ciara']","1, 2 Step (2005)",single-shortened,Ciara featuring Missy Elliott | Ciara,Ciara
trimmed:featured,Ciara featuring Petey Pablo,1,featuring Petey Pablo,,"Q203223 Ciara [spotify, mb]","Q203223 Ciara [human, spotify, mb, via 'Ciara']",Goodies (2004),single-shortened,Ciara featuring Petey Pablo | Ciara,Ciara
trimmed:featured,Claude Thornhill feat. Fran Warren,1,feat. Fran Warren,,Q1097191 Claude Thornhill [mb],"Q1097191 Claude Thornhill [human, mb, via 'Claude Thornhill']",A Sunday Kind of Love (1947),single-shortened,Claude Thornhill feat. Fran Warren | Claude Thornhill,Claude Thornhill
trimmed:featured,Coolio featuring L.V.,1,featuring L.V.,,"Q310357 Coolio [spotify, mb]","Q310357 Coolio [human, spotify, mb, via 'Coolio']",Gangsta's Paradise (1995),single-shortened,Coolio featuring L.V. | Coolio,Coolio
trimmed:featured,"DJ Khaled feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne",1,"feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne",,"Q80805 DJ Khaled [spotify, mb]","Q80805 DJ Khaled [human, spotify, mb, via 'DJ Khaled']",I'm the One (2017),single-shortened,"DJ Khaled feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne | DJ Khaled",DJ Khaled
trimmed:featured,DJ Khaled feat. Rihanna & Bryson Tiller,1,feat. Rihanna & Bryson Tiller,,"Q80805 DJ Khaled [spotify, mb]","Q80805 DJ Khaled [human, spotify, mb, via 'DJ Khaled']",Wild Thoughts (2017),single-shortened,DJ Khaled feat. Rihanna & Bryson Tiller | DJ Khaled,DJ Khaled
trimmed:featured,DJ Snake feat. Justin Bieber,1,feat. Justin Bieber,,"Q16728588 DJ Snake [spotify, mb]","Q16728588 DJ Snake [human, spotify, mb, via 'DJ Snake']",Let Me Love You (2016),single-shortened,DJ Snake feat. Justin Bieber | DJ Snake,DJ Snake
trimmed:featured,DaBaby feat. Roddy Ricch,1,feat. Roddy Ricch,,"Q62107457 DaBaby [spotify, mb]","Q62107457 DaBaby [human, spotify, mb, via 'DaBaby']",Rockstar (2020),single-shortened,DaBaby feat. Roddy Ricch | DaBaby,DaBaby
trimmed:featured,Daft Punk feat. Pharrell Williams,1,feat. Pharrell Williams,,"Q185828 Daft Punk [spotify, mb]","Q185828 Daft Punk [musical group/electronica duo/male duo, spotify, mb, via 'Daft Punk']",Get Lucky (2013),single-shortened,Daft Punk feat. Pharrell Williams | Daft Punk,Daft Punk
trimmed:featured,"David Guetta feat. Nicki Minaj, Bebe Rexha & Afrojack",1,"feat. Nicki Minaj, Bebe Rexha & Afrojack",,"Q8298 David Guetta [spotify, mb]","Q8298 David Guetta [human, spotify, mb, via 'David Guetta']",Hey Mama (2015),single-shortened,"David Guetta feat. Nicki Minaj, Bebe Rexha & Afrojack | David Guetta",David Guetta
trimmed:featured,David Guetta feat. Sia,1,feat. Sia,,"Q8298 David Guetta [spotify, mb]","Q8298 David Guetta [human, spotify, mb, via 'David Guetta']",Titanium (2012),single-shortened,David Guetta feat. Sia | David Guetta,David Guetta
trimmed:featured,Destiny's Child featuring T.I. and Lil Wayne,1,featuring T.I. and Lil Wayne,,"Q153056 Destiny's Child [spotify, mb]","Q153056 Destiny's Child [musical group, spotify, mb, via ""Destiny's Child""]",Soldier (2005),single-shortened,Destiny's Child featuring T.I. and Lil Wayne | Destiny's Child,Destiny's Child
trimmed:featured,Disclosure feat. Sam Smith,1,feat. Sam Smith,,"Q1228440 Disclosure [spotify, mb]","Q1228440 Disclosure [musical duo, spotify, mb, via 'Disclosure']",Latch (2014),single-shortened,Disclosure feat. Sam Smith | Disclosure,Disclosure
trimmed:featured,Doja Cat feat. SZA,1,feat. SZA,,"Q51120673 Doja Cat [spotify, mb]","Q51120673 Doja Cat [human, spotify, mb, via 'Doja Cat']",Kiss Me More (2021),single-shortened,Doja Cat feat. SZA | Doja Cat,Doja Cat
trimmed:featured,Don Toliver feat. Doja Cat,1,feat. Doja Cat,,"Q56513383 Don Toliver [spotify, mb]","Q56513383 Don Toliver [human, spotify, mb, via 'Don Toliver']",Lose My Mind (2025),single-shortened,Don Toliver feat. Doja Cat | Don Toliver,Don Toliver
trimmed:featured,Drake feat. Lil Wayne,1,feat. Lil Wayne,,"Q33240 Drake [spotify, mb]","Q33240 Drake [human, spotify, mb, via 'Drake']",The Motto (2012),single-shortened,Drake feat. Lil Wayne | Drake,Drake
trimmed:featured,Drake feat. Molly Santana,1,feat. Molly Santana,,"Q33240 Drake [spotify, mb]","Q33240 Drake [human, spotify, mb, via 'Drake']",Ran to Atlanta (2026),single-shortened,Drake feat. Molly Santana | Drake,Drake
trimmed:featured,Drake feat. Rihanna,1,feat. Rihanna,,"Q33240 Drake [spotify, mb]","Q33240 Drake [human, spotify, mb, via 'Drake']",Take Care (2012),single-shortened,Drake feat. Rihanna | Drake,Drake
trimmed:featured,Drake feat. WizKid & Kyla,1,feat. WizKid & Kyla,,"Q33240 Drake [spotify, mb]","Q33240 Drake [human, spotify, mb, via 'Drake']",One Dance (2016),single-shortened,Drake feat. WizKid & Kyla | Drake,Drake
trimmed:featured,Eddie Rabbitt with Crystal Gayle,1,with Crystal Gayle,,"Q1282956 Eddie Rabbitt [spotify, mb]","Q1282956 Eddie Rabbitt [human, spotify, mb, via 'Eddie Rabbitt']",You and I (1983),single-shortened,Eddie Rabbitt with Crystal Gayle | Eddie Rabbitt,Eddie Rabbitt
trimmed:featured,Empire Cast feat. Jussie Smollett,1,feat. Jussie Smollett,,"Q139680521 Empire Cast [spotify, mb]","Q139680521 Empire Cast [original cast, spotify, mb, via 'Empire Cast']",You're So Beautiful (2015),single-shortened,Empire Cast feat. Jussie Smollett | Empire Cast,Empire Cast
trimmed:featured,Enrique Iglesias feat. Ludacris & DJ Frank E,1,feat. Ludacris & DJ Frank E,,"Q47122 Enrique Iglesias [spotify, mb]","Q47122 Enrique Iglesias [human, spotify, mb, via 'Enrique Iglesias']",Tonight (I'm Lovin' You) (2011),single-shortened,Enrique Iglesias feat. Ludacris & DJ Frank E | Enrique Iglesias,Enrique Iglesias
trimmed:featured,Enrique Iglesias feat. Pitbull,1,feat. Pitbull,,"Q47122 Enrique Iglesias [spotify, mb]","Q47122 Enrique Iglesias [human, spotify, mb, via 'Enrique Iglesias']",I Like It (2010),single-shortened,Enrique Iglesias feat. Pitbull | Enrique Iglesias,Enrique Iglesias
trimmed:featured,Evanescence featuring Paul McCoy,1,featuring Paul McCoy,,"Q1777698 Evanescence [spotify, mb]","Q1777698 Evanescence [rock band, spotify, mb, via 'Evanescence']",Bring Me to Life (2003),single-shortened,Evanescence featuring Paul McCoy | Evanescence,Evanescence
trimmed:featured,Fabolous featuring Mike Shorey and Lil' Mo,1,featuring Mike Shorey and Lil' Mo,,"Q349420 Fabolous [spotify, mb]","Q349420 Fabolous [human, spotify, mb, via 'Fabolous']",Can't Let You Go (2003),single-shortened,Fabolous featuring Mike Shorey and Lil' Mo | Fabolous,Fabolous
trimmed:featured,Fabolous featuring Tamia,1,featuring Tamia,,"Q349420 Fabolous [spotify, mb]","Q349420 Fabolous [human, spotify, mb, via 'Fabolous']",Into You (2003),single-shortened,Fabolous featuring Tamia | Fabolous,Fabolous
trimmed:featured,Fat Joe featuring Ashanti,1,featuring Ashanti,,"Q309888 Fat Joe [spotify, mb]","Q309888 Fat Joe [human, spotify, mb, via 'Fat Joe']",What's Luv? (2002),single-shortened,Fat Joe featuring Ashanti | Fat Joe,Fat Joe
trimmed:featured,Fetty Wap feat. Remy Boyz,1,feat. Remy Boyz,,"Q19361511 Fetty Wap [spotify, mb]","Q19361511 Fetty Wap [human, spotify, mb, via 'Fetty Wap']",679 (2015),single-shortened,Fetty Wap feat. Remy Boyz | Fetty Wap,Fetty Wap
trimmed:featured,Fifth Harmony feat. Kid Ink,1,feat. Kid Ink,,"Q3087893 Fifth Harmony [spotify, mb]","Q3087893 Fifth Harmony [girl group, spotify, mb, via 'Fifth Harmony']",Worth It (2015),single-shortened,Fifth Harmony feat. Kid Ink | Fifth Harmony,Fifth Harmony
trimmed:featured,Flo Rida feat. David Guetta,1,feat. David Guetta,,"Q213538 Flo Rida [spotify, mb]","Q213538 Flo Rida [human, spotify, mb, via 'Flo Rida']",Club Can't Handle Me (2010),single-shortened,Flo Rida feat. David Guetta | Flo Rida,Flo Rida
trimmed:featured,Flo Rida feat. Sage the Gemini & Lookas,1,feat. Sage the Gemini & Lookas,,"Q213538 Flo Rida [spotify, mb]","Q213538 Flo Rida [human, spotify, mb, via 'Flo Rida']",GDFR (2015),single-shortened,Flo Rida feat. Sage the Gemini & Lookas | Flo Rida,Flo Rida
trimmed:featured,Flo Rida feat. Sia,1,feat. Sia,,"Q213538 Flo Rida [spotify, mb]","Q213538 Flo Rida [human, spotify, mb, via 'Flo Rida']",Wild Ones (2012),single-shortened,Flo Rida feat. Sia | Flo Rida,Flo Rida
trimmed:featured,Flo Rida featuring T-Pain,1,featuring T-Pain,,"Q213538 Flo Rida [spotify, mb]","Q213538 Flo Rida [human, spotify, mb, via 'Flo Rida']",Low (2008),single-shortened,Flo Rida featuring T-Pain | Flo Rida,Flo Rida
trimmed:featured,Florida Georgia Line feat. Nelly,1,feat. Nelly,,"Q3644642 Florida Georgia Line [spotify, mb]","Q3644642 Florida Georgia Line [musical duo/male duo, spotify, mb, via 'Florida Georgia Line']",Cruise (2013),single-shortened,Florida Georgia Line feat. Nelly | Florida Georgia Line,Florida Georgia Line
trimmed:featured,Frank Sinatra with Harry James,1,with Harry James,,"Q40912 Frank Sinatra [spotify, mb]","Q40912 Frank Sinatra [human, spotify, mb, via 'Frank Sinatra']",All or Nothing at All (1943),single-shortened,Frank Sinatra with Harry James | Frank Sinatra,Frank Sinatra
trimmed:featured,Freddy Martin feat. Merv Griffin,1,feat. Merv Griffin,,Q2170130 Freddy Martin [mb],"Q2170130 Freddy Martin [human, mb, via 'Freddy Martin']",I've Got a Lovely Bunch of Coconuts (1949),single-shortened,Freddy Martin feat. Merv Griffin | Freddy Martin,Freddy Martin
trimmed:featured,French Montana feat. Swae Lee,1,feat. Swae Lee,,"Q1455261 French Montana [spotify, mb]","Q1455261 French Montana [human, spotify, mb, via 'French Montana']",Unforgettable (2017),single-shortened,French Montana feat. Swae Lee | French Montana,French Montana
trimmed:featured,G-Eazy x Bebe Rexha,1,x Bebe Rexha,,"Q5511893 G-Eazy [spotify, mb]","Q5511893 G-Eazy [human, spotify, mb, via 'G-Eazy']","Me, Myself & I (2016)",single-shortened,G-Eazy x Bebe Rexha | G-Eazy,G-Eazy
trimmed:featured,Glenn Medeiros featuring Bobby Brown,1,featuring Bobby Brown,,Q304966 Glenn Medeiros [mb],"Q304966 Glenn Medeiros [human, mb, via 'Glenn Medeiros']",She Ain't Worth It (1990),single-shortened,Glenn Medeiros featuring Bobby Brown | Glenn Medeiros,Glenn Medeiros
trimmed:featured,Gotye feat. Kimbra,1,feat. Kimbra,,"Q489643 Gotye [spotify, mb]","Q489643 Gotye [human, spotify, mb, via 'Gotye']",Somebody That I Used to Know (2012),single-shortened,Gotye feat. Kimbra | Gotye,Gotye
trimmed:featured,Grover Washington Jr. with Bill Withers,1,with Bill Withers,,"Q463678 Grover Washington Jr. [spotify, mb]","Q463678 Grover Washington Jr. [human, spotify, mb, via 'Grover Washington Jr.']",Just the Two of Us (1981),single-shortened,Grover Washington Jr. with Bill Withers | Grover Washington Jr.,Grover Washington Jr.
trimmed:featured,Gwen Stefani featuring Akon,1,featuring Akon,,"Q483379 Gwen Stefani [spotify, mb]","Q483379 Gwen Stefani [human, spotify, mb, via 'Gwen Stefani']",The Sweet Escape (2007),single-shortened,Gwen Stefani featuring Akon | Gwen Stefani,Gwen Stefani
trimmed:featured,Gym Class Heroes featuring Patrick Stump,1,featuring Patrick Stump,,"Q818377 Gym Class Heroes [spotify, mb]","Q818377 Gym Class Heroes [musical group, spotify, mb, via 'Gym Class Heroes']",Cupid's Chokehold (2007),single-shortened,Gym Class Heroes featuring Patrick Stump | Gym Class Heroes,Gym Class Heroes
trimmed:featured,Icona Pop feat. Charli XCX,1,feat. Charli XCX,,"Q808703 Icona Pop [spotify, mb]","Q808703 Icona Pop [musical duo/female duo, spotify, mb, via 'Icona Pop']",I Love It (2013),single-shortened,Icona Pop feat. Charli XCX | Icona Pop,Icona Pop
trimmed:featured,Iggy Azalea feat. Charli XCX,1,feat. Charli XCX,,"Q2748803 Iggy Azalea [spotify, mb]","Q2748803 Iggy Azalea [human, spotify, mb, via 'Iggy Azalea']",Fancy (2014),single-shortened,Iggy Azalea feat. Charli XCX | Iggy Azalea,Iggy Azalea
trimmed:featured,Iggy Azalea feat. Rita Ora,1,feat. Rita Ora,,"Q2748803 Iggy Azalea [spotify, mb]","Q2748803 Iggy Azalea [human, spotify, mb, via 'Iggy Azalea']",Black Widow (2014),single-shortened,Iggy Azalea feat. Rita Ora | Iggy Azalea,Iggy Azalea
trimmed:featured,Ja Rule featuring Lil' Mo and Vita,1,featuring Lil' Mo and Vita,,"Q309843 Ja Rule [spotify, mb]","Q309843 Ja Rule [human, spotify, mb, via 'Ja Rule']",Put It on Me (2001),single-shortened,Ja Rule featuring Lil' Mo and Vita | Ja Rule,Ja Rule
trimmed:featured,Jamie Foxx featuring T-Pain,1,featuring T-Pain,,"Q171905 Jamie Foxx [spotify, mb]","Q171905 Jamie Foxx [human, spotify, mb, via 'Jamie Foxx']",Blame It (2009),single-shortened,Jamie Foxx featuring T-Pain | Jamie Foxx,Jamie Foxx
trimmed:featured,Jason Derulo feat. 2 Chainz,1,feat. 2 Chainz,,"Q243639 Jason Derulo [spotify, mb]","Q243639 Jason Derulo [human, spotify, mb, via 'Jason Derulo']",Talk Dirty (2014),single-shortened,Jason Derulo feat. 2 Chainz | Jason Derulo,Jason Derulo
trimmed:featured,Jason Derulo feat. Snoop Dogg,1,feat. Snoop Dogg,,"Q243639 Jason Derulo [spotify, mb]","Q243639 Jason Derulo [human, spotify, mb, via 'Jason Derulo']",Wiggle (2014),single-shortened,Jason Derulo feat. Snoop Dogg | Jason Derulo,Jason Derulo
trimmed:featured,Jay Sean featuring Lil Wayne,1,featuring Lil Wayne,,"Q294907 Jay Sean [spotify, mb]","Q294907 Jay Sean [human, spotify, mb, via 'Jay Sean']",Down (2009),single-shortened,Jay Sean featuring Lil Wayne | Jay Sean,Jay Sean
trimmed:featured,Jay-Z feat. Justin Timberlake,1,feat. Justin Timberlake,,"Q62766 Jay-Z [spotify, mb]","Q62766 Jay-Z [human, spotify, mb, via 'Jay-Z']",Holy Grail (2013),single-shortened,Jay-Z feat. Justin Timberlake | Jay-Z,Jay-Z
trimmed:featured,Jennifer Lopez feat. Pitbull,1,feat. Pitbull,,"Q40715 Jennifer Lopez [spotify, mb]","Q40715 Jennifer Lopez [human, spotify, mb, via 'Jennifer Lopez']",On the Floor (2011),single-shortened,Jennifer Lopez feat. Pitbull | Jennifer Lopez,Jennifer Lopez
trimmed:featured,Jennifer Lopez featuring LL Cool J,1,featuring LL Cool J,,"Q40715 Jennifer Lopez [spotify, mb]","Q40715 Jennifer Lopez [human, spotify, mb, via 'Jennifer Lopez']",All I Have (2003),single-shortened,Jennifer Lopez featuring LL Cool J | Jennifer Lopez,Jennifer Lopez
trimmed:featured,Jennifer Lopez featuring Nas,1,featuring Nas,,"Q40715 Jennifer Lopez [spotify, mb]","Q40715 Jennifer Lopez [human, spotify, mb, via 'Jennifer Lopez']",I'm Gonna Be Alright (2002),single-shortened,Jennifer Lopez featuring Nas | Jennifer Lopez,Jennifer Lopez
trimmed:featured,Jeremih feat. 50 Cent,1,feat. 50 Cent,,"Q472891 Jeremih [spotify, mb]","Q472891 Jeremih [human, spotify, mb, via 'Jeremih']",Down on Me (2011),single-shortened,Jeremih feat. 50 Cent | Jeremih,Jeremih
